Fact,Fact Note,"Kansas City city, Missouri","Value Note for Kansas City city, Missouri","Austin city, Texas","Value Note for Austin city, Texas","Memphis city, Tennessee","Value Note for Memphis city, Tennessee","Charlotte city, North Carolina","Value Note for Charlotte city, North Carolina","New York city, New York","Value Note for New York city, New York",United States,Value Note for United States
"Median selected monthly owner costs -with a mortgage, 2015-2019",,1382,,2031,,1191,,1446,,2730,,1595,
"Median selected monthly owner costs -without a mortgage, 2015-2019",,499,,806,,450,,496,,903,,500,
"Median gross rent, 2015-2019",,941,,1280,,901,,1135,,1443,,1062,
"Building permits, 2019",,X,,X,,X,,X,,X,,1386048,
"Households, 2015-2019",,203356,,380392,,251732,,330391,,3167034,,120756048,
"Persons per household, 2015-2019",,2.35,,2.44,,2.53,,2.56,,2.6,,2.62,
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",,0.815,,0.79,,0.84,,0.815,,0.9,,0.858,
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",,0.124,,0.319,,0.096,,0.217,,0.485,,0.216,
"Households with a computer, percent, 2015-2019",,0.898,,0.949,,0.806,,0.94,,0.891,,0.903,
"Households with a broadband Internet subscription, percent, 2015-2019",,0.813,,0.875,,0.695,,0.874,,0.815,,0.827,
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",,0.9,,0.894,,0.857,,0.891,,0.822,,0.88,
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",,0.352,,0.517,,0.262,,0.443,,0.381,,0.321,
"With a disability, under age 65 years, percent, 2015-2019",,0.092,,0.062,,0.1,,0.054,,0.068,,0.086,
"Persons  without health insurance, under age 65 years, percent",,0.134,,0.147,,0.155,,0.138,,0.086,,0.095,
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",,0.69,,0.738,,0.633,,0.716,,0.636,,0.63,
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",,0.651,,0.674,,0.608,,0.665,,0.588,,0.583,
"Total accommodation and food services sales, 2012 ($1,000)",(c),1630048,,3474670,,1503947,,2413557,,27452861,,708138598,
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),5060279,,6609254,,6624207,,7031767,,76165547,,2040441203,
"Total manufacturers shipments, 2012 ($1,000)",(c),8635055,,11413406,,18372536,,9376077,,14816322,,5696729632,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),14577576,,55701978,,28725894,,19884597,,173797846,,5208023478,
"Total retail sales, 2012 ($1,000)",(c),7537341,,14738182,,18848867,,10901026,,92265000,,4219821871,
"Total retail sales per capita, 2012",(c),16233,,17491,,28770,,14062,,11067,,13443,
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",,22,,24.5,,21.7,,25.9,,41.5,,26.9,
"Median household income (in 2019 dollars), 2015-2019",,54194,,71576,,41228,,62817,,63998,,62843,
"Per capita income in past 12 months (in 2019 dollars), 2015-2019",,32348,,43043,,25605,,38000,,39828,,34103,
"Persons in poverty, percent",,0.161,,0.132,,0.251,,0.128,,0.179,,0.105,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,7912405,
"Total employment, 2018",,X,,X,,X,,X,,X,,130881471,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,7097310272,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,0.018,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,26485532,
"All firms, 2012",,39486,,96048,,70891,,81973,,1050911,,27626360,
"Men-owned firms, 2012",,20191,,51518,,30568,,41600,,571852,,14844597,
"Women-owned firms, 2012",,14564,,34253,,35710,,32008,,413899,,9878397,
"Minority-owned firms, 2012",,9979,,28888,,43949,,32449,,539447,,7952386,
"Nonminority-owned firms, 2012",,27421,,62905,,24758,,45269,,483136,,18987918,
"Veteran-owned firms, 2012",,3514,,7314,,6795,,7655,,57216,,2521682,
"Nonveteran-owned firms, 2012",,33138,,84168,,61460,,69136,,966167,,24070685,
"Population per square mile, 2010",,1459.9,,2653.2,,2053.3,,2457.1,,27012.5,,87.4,
"Land area in square miles, 2010",,314.95,,297.9,,315.06,,297.68,,302.64,,3531905.43,
FIPS Code,,"""2938000""",,"""4805000""",,"""4748000""",,"""3712000""",,"""3651000""",,"""1""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
